Area,DC1117EW_C_SEX,DC1117EW_C_AGE,NewEthpop_ETH
E02001730,1,71,WBI
E02001722,2,26,WBI
E02001711,1,52,WBI
E02001731,1,24,WBI
E02001727,2,48,WBI
E02001726,2,27,WBI
E02001721,1,51,WBI
E02001728,1,86,WBI
E02001709,2,80,WBI
E02001718,2,1,WBI
E02001712,1,9,WBI
E02001729,2,21,WBI
E02001731,1,27,WBI
E02001715,2,30,WBI
E02001712,1,33,WBI
E02006893,2,45,WBI
E02001731,1,19,WBI
E02001714,1,62,WBI
E02001721,1,40,WBI
E02001729,2,38,WBI
E02001712,1,14,WBI
E02006893,1,65,WBI
E02001731,1,23,WBI
E02001710,1,64,IND
E02001735,2,36,WBI
E02001723,2,82,PAK
E02001715,2,68,WBI
E02001730,1,22,WBI
E02001735,2,39,WBI
E02001736,1,39,PAK
E02001725,2,23,WBI
E02001725,2,24,WBI
E02001715,1,62,WBI
E02001718,2,16,WBI
E02001711,2,50,WBI
E02001709,1,35,WBI
E02001725,2,70,WBI
E02001731,1,21,WBI
E02006893,1,23,WBI
E02001732,2,72,MIX
E02001712,1,37,WBI
E02001721,1,64,WBI
E02001723,2,52,PAK
E02001725,1,24,WBI
E02001715,2,26,WBI
E02001719,1,24,MIX
E02001728,2,60,WBI
E02001709,1,46,WBI
E02001712,1,42,WBI
E02001724,2,39,WBI
E02001726,2,74,WBI
E02001736,2,25,BAN
E02001725,2,23,WBI
E02001727,2,54,WBI
E02001733,1,72,WBI
E02001721,2,10,WBI
E02001730,2,22,WBI
E02001726,1,19,WBI
E02001710,2,33,WBI
E02001727,1,20,WBI
E02001721,2,49,WBI
E02001726,2,39,OAS
E02001732,2,15,WBI
E02001711,2,74,WBI
E02001710,2,65,WBI
E02001720,2,22,WBI
E02006893,2,9,WBI
E02001725,1,26,WBI
E02001709,2,75,OTH
E02001727,1,37,WBI
E02001733,1,33,WBI
E02001720,1,30,WBI
E02001728,2,52,WBI
E02001712,2,31,WBI
E02001726,2,40,MIX
E02001723,1,30,PAK
E02001730,2,20,WBI
E02001721,1,34,WBI
E02001734,2,25,WBI
E02001714,1,71,IND
E02001711,1,22,WBI
E02001734,2,12,WBI
E02001709,2,38,WBI
E02001729,2,24,OTH
E02001719,2,49,WBI
E02001711,2,58,WBI
E02001725,1,48,BLA
E02001729,2,30,PAK
E02001733,2,47,WBI
E02001724,1,28,WBI
E02001730,1,83,WBI
E02001725,1,27,WHO
E02001732,2,26,WBI
E02001733,1,9,WHO
E02001730,2,22,WBI
E02001723,1,42,WHO
E02001731,2,7,WBI
E02001737,1,68,WBI
E02001726,1,80,WBI
E02001720,1,48,OAS
E02001730,1,22,OAS
E02001715,1,7,WBI
E02001724,1,24,WHO
E02001728,1,61,WBI
E02001724,1,20,CHI
E02001714,2,83,WBI
E02001712,1,37,WBI
E02001719,1,1,WBI
E02001734,1,24,MIX
E02001731,2,25,CHI
E02006893,2,77,WBI
E02006893,1,53,WBI
E02001711,1,74,WBI
E02001711,1,51,WBI
E02001728,2,80,WBI
E02001734,1,63,WBI
E02001713,1,74,WBI
E02006893,1,5,WBI
E02001724,1,22,WBI
E02001719,2,22,WBI
E02001720,2,21,WBI
E02001713,1,72,WBI
E02001719,2,53,PAK
E02001734,2,33,WBI
E02001720,2,67,WBI
E02001709,1,37,WBI
E02001737,2,53,WBI
E02001728,1,2,WBI
E02001733,2,47,WBI
E02001724,1,27,OTH
E02001730,2,23,WBI
E02001726,1,78,WBI
E02001733,2,53,BLA
E02001731,1,22,OAS
E02001732,1,1,WBI
E02001720,2,40,WBI
E02001720,2,21,WBI
E02001729,2,34,WBI
E02001736,1,31,OTH
E02001714,1,25,WBI
E02001714,2,12,WBI
E02001715,2,1,WBI
E02001733,1,23,WBI
E02001719,2,21,WBI
E02001709,2,56,WBI
E02001710,2,21,WBI
E02001715,2,45,WBI
E02001736,2,34,WHO
E02001730,2,21,CHI
E02001724,2,22,WBI
E02001710,2,32,WBI
E02001721,1,60,WBI
E02001731,2,24,CHI
E02001735,1,9,MIX
E02001724,1,21,WBI
E02001711,2,53,WBI
E02006893,1,69,WBI
E02001721,2,19,WBI
E02001718,1,67,OTH
E02001730,1,21,WBI
E02001726,2,41,PAK
E02001709,1,37,WBI
E02001736,1,26,OAS
E02001731,1,31,WBI
E02001720,2,73,IND
E02001727,2,79,WBI
E02001708,2,29,WBI
E02001734,2,4,WBI
E02001729,1,46,WBI
E02001735,1,17,WBI
E02001721,2,31,WBI
E02001732,1,43,WBI
E02001711,2,44,WBI
E02001720,1,25,WBI
E02001737,1,22,WBI
E02001719,2,44,WBI
E02001725,1,24,WBI
E02001715,2,32,WBI
E02001724,2,77,WBI
E02001720,2,40,WBI
E02001727,1,1,WBI
E02001714,1,70,WBI
E02001708,2,45,WBI
E02006893,2,38,WBI
E02001733,2,80,WBI
E02001709,1,16,WBI
E02001737,1,45,WBI
E02001719,2,15,WBI
E02001725,1,24,MIX
E02001737,1,28,OAS
E02001727,2,11,WBI
E02001736,1,21,WBI
E02001724,1,22,WBI
E02001715,2,37,WBI
E02001710,2,57,WBI
E02001709,2,53,WBI
E02001715,2,47,WBI
E02001712,1,61,OAS
E02001710,1,61,WBI
E02001736,1,27,IND
E02001709,2,3,WBI
E02001719,2,81,WBI
E02001730,1,48,WBI
E02001724,2,71,WBI
E02001728,2,62,WBI
E02001709,1,20,WBI
E02001721,1,75,WBI
E02001714,2,22,WHO
E02001725,1,32,WBI
E02001711,1,84,WBI
E02001728,2,30,WBI
E02001725,1,56,WBI
E02001714,1,4,WBI
E02001729,1,66,WBI
E02006893,2,82,WBI
E02001731,2,33,WBI
E02001731,1,28,WHO
E02001718,1,28,WBI
E02001728,1,5,WBI
E02001713,2,38,WHO
E02001730,1,21,WBI
E02001711,2,63,WBI
E02001709,2,24,WHO
E02001714,1,15,WBI
E02001720,2,24,BLA
E02001733,2,6,BLA
E02001733,1,55,WBI
E02001718,2,53,WBI
E02001730,1,60,WBI
E02001719,2,86,IND
E02001731,1,30,WHO
E02001708,1,48,OTH
E02001731,1,22,OTH
E02001713,2,56,WBI
E02001730,1,21,WBI
E02001712,1,69,WBI
E02001714,1,32,WBI
E02001727,1,29,WBI
E02001719,2,36,WBI
E02001710,1,7,WBI
E02001724,1,23,WBI
E02001719,1,51,BAN
E02006893,1,65,WBI
E02001713,1,54,WBI
E02001728,2,75,WBI
E02001713,1,38,WBI
E02001713,2,42,IND
E02001734,1,42,WBI
E02001713,2,49,WBI
E02001709,2,62,WBI
E02001708,2,60,WHO
E02001722,1,33,WBI
E02001708,1,44,WBI
E02001732,1,54,WBI
E02001728,2,6,WBI
E02001736,1,25,WBI
E02001736,1,5,PAK
E02001721,2,25,WBI
E02001725,2,84,WBI
E02001725,2,86,WBI
E02001726,2,10,WBI
E02001726,2,69,WBI
E02001737,1,63,CHI
E02001736,2,63,WBI
E02001711,1,49,WBI
E02001709,2,54,WBI
E02001713,1,36,WBI
E02001710,1,1,WBI
E02001724,1,62,WBI
E02001726,1,82,WBI
E02001726,2,19,MIX
E02001736,1,28,WBI
E02001730,2,25,CHI
E02001722,1,26,WBI
E02001731,1,43,OTH
E02001735,2,18,WBI
E02001734,2,7,WHO
E02001735,1,38,WBI
E02001733,1,45,WBI
E02001714,1,9,PAK
E02001736,2,23,WBI
E02001709,2,1,IND
E02001710,2,64,WBI
E02001713,2,86,WBI
E02001736,2,38,WHO
E02001724,1,82,WBI
E02001719,1,8,WBI
E02001729,2,39,WBI
E02001710,1,21,WBI
E02001730,2,20,WBI
E02001727,1,33,WBI
E02001714,1,34,BAN
E02001713,2,36,WBI
E02001726,2,75,WBI
E02001736,2,15,BAN
E02001726,2,17,CHI
E02001733,2,60,WBI
E02001715,2,9,WBI
E02001714,2,47,OTH
E02001733,2,3,WBI
E02001720,1,22,WBI
E02001724,1,23,WBI
E02001721,1,30,WBI
E02001725,1,23,WBI
E02001731,2,76,WBI
E02001729,2,43,IND
E02001708,1,2,WBI
E02001726,2,22,WBI
E02001723,2,56,WBI
E02001730,2,21,WBI
E02001708,1,2,WHO
E02001724,2,31,CHI
E02001722,2,38,WBI
E02001728,1,62,WBI
E02001733,2,49,WHO
E02001730,1,21,WBI
E02001714,2,43,WBI
E02001730,2,23,WBI
E02001708,1,25,WBI
E02001715,2,31,WBI
E02001728,1,18,WBI
E02001735,2,18,WBI
E02001715,1,53,WBI
E02001713,1,57,WBI
E02001708,2,42,WBI
E02001731,1,28,WBI
E02001722,2,75,WBI
E02001726,2,61,WBI
E02001735,1,7,WBI
E02001718,2,4,WBI
E02001727,2,64,WBI
E02001725,1,43,WBI
E02001730,1,25,WBI
E02001709,1,59,WBI
E02001710,2,2,WHO
E02001719,2,42,WBI
E02001712,1,58,WBI
E02001724,1,24,WBI
E02001733,1,12,WBI
E02001736,2,1,WBI
E02001709,2,86,WBI
E02001721,2,46,WBI
E02001726,2,21,WBI
E02001730,2,23,WBI
E02001729,2,27,PAK
E02001715,1,23,WBI
E02001736,1,74,MIX
E02001733,1,56,WBI
E02006893,1,19,WBI
E02001736,2,47,WBI
E02001711,2,8,WBI
E02001720,1,36,WBI
E02001731,2,84,WHO
E02006893,2,17,WBI
E02001736,2,27,WBI
E02001735,1,51,WBI
E02001721,2,36,WBI
E02001715,2,38,WBI
E02001730,1,29,OAS
E02001718,2,40,WBI
E02001725,2,14,WBI
E02001711,1,41,WBI
E02001730,2,79,WBI
E02001729,2,22,BAN
E02001723,2,70,WBI
E02001713,2,28,WBI
E02001720,1,27,CHI
E02001710,2,43,WHO
E02001728,1,29,WBI
E02001722,1,7,WBI
E02001725,1,29,WBI
E02001719,1,51,WBI
E02001729,2,10,WBI
E02001720,1,21,PAK
E02001724,2,26,WBI
E02001729,1,38,BAN
E02001709,2,12,WHO
E02001736,1,16,WBI
E02001708,2,61,WBI
E02001715,1,30,WBI
E02001711,1,79,WBI
E02001737,2,86,WBI
E02001719,2,39,WBI
E02001733,2,16,BLA
E02001718,1,46,WBI
E02001736,1,35,BAN
E02001713,1,18,WBI
E02001734,1,53,WBI
E02001732,2,26,WBI
E02001733,2,43,WBI
E02001714,1,8,OAS
E02001710,1,64,WBI
E02001733,2,30,WBI
E02001729,2,22,BAN
E02001719,1,47,WBI
E02001713,2,50,OTH
E02001722,2,10,WBI
E02001718,2,40,WBI
E02001732,1,50,WBI
E02001731,1,21,WBI
E02001730,1,23,WBI
E02001709,1,53,WBI
E02001734,2,78,WHO
E02001736,2,46,IND
E02001718,1,48,WBI
E02001720,1,61,WBI
E02001715,1,14,WBI
E02001715,1,14,WBI
E02001715,2,64,WBI
E02001710,2,85,WBI
E02001733,1,64,WBI
E02001736,2,11,WHO
E02001729,1,20,IND
E02001709,1,36,IND
E02001736,2,16,BAN
E02006893,1,43,WBI
E02001715,1,14,WBI
E02001730,2,32,WBI
E02001713,1,66,WBI
E02001729,1,15,OAS
E02001710,1,55,WBI
E02001728,2,67,WBI
E02001730,1,71,WBI
E02001712,2,44,WBI
E02001712,1,18,WBI
E02001711,1,56,WBI
E02001730,1,20,WBI
E02001727,2,57,WBI
E02001731,1,50,WBI
E02001735,1,40,WBI
E02001715,1,16,WBI
E02001721,2,41,WBI
E02001710,1,16,WBI
E02001731,2,21,WBI
E02001723,2,74,WBI
E02001710,1,14,WBI
E02001723,2,17,WBI
E02001729,2,23,WBI
E02001730,1,26,WBI
E02001708,2,31,WBI
E02001724,1,23,WBI
E02001709,2,43,WBI
E02001736,2,29,WBI
E02001731,1,21,WBI
E02001724,2,21,WBI
E02001731,2,27,CHI
E02001708,1,10,WBI
E02001719,2,20,WBI
E02001722,1,50,WBI
E02001722,1,27,WBI
E02001713,1,29,WBI
E02006893,1,75,WBI
E02001732,2,34,WBI
E02001736,1,26,WBI
E02001736,1,62,WBI
E02001708,2,50,WBI
E02001726,1,3,WBI
E02001715,1,58,WBI
E02001730,2,30,WBI
E02001733,1,42,WBI
E02001727,1,43,WBI
E02001722,1,14,WBI
E02001734,2,53,WBI
E02001726,1,38,WBI
E02001714,2,54,WBI
E02001731,2,21,WHO
E02001722,2,71,WBI
E02001736,2,6,WBI
E02001712,1,7,WBI
E02001732,1,61,WBI
E02001714,2,18,WBI
E02001733,2,8,WBI
E02001713,2,31,WBI
E02001713,2,86,WBI
E02001722,2,3,WBI
E02001714,1,49,WBI
E02001723,1,53,OTH
E02001719,1,49,WBI
E02001726,1,14,PAK
E02001711,2,43,WBI
E02001721,1,84,WBI
E02001710,2,21,WBI
E02001737,1,31,WBI
E02001730,2,23,WBI
E02001726,1,38,WBI
E02001728,2,45,WBI
E02001713,2,77,WBI
E02001711,2,80,WBI
E02001725,2,86,WBI
E02001709,1,23,WBI
E02001718,2,49,OTH
E02001737,1,79,WBI
E02001737,2,51,WBI
E02001708,2,3,WBI
E02001732,2,60,WBI
E02001724,2,7,WBI
E02001721,1,51,WBI
E02001720,1,36,WBI
E02001711,2,34,WBI
E02001730,2,27,WHO
E02001733,1,5,WBI
E02001729,1,45,CHI
E02001735,2,5,WBI
E02001728,1,43,WBI
E02006893,2,13,WBI
E02001733,1,41,WBI
E02001725,2,31,WBI
E02006893,2,17,WBI
E02001712,2,54,WBI
E02001728,2,6,WBI
E02001711,1,5,WBI
E02001709,2,32,WBI
E02001708,2,49,WBI
E02001729,1,31,PAK
E02001731,2,26,BLA
E02001709,1,13,WBI
E02001708,2,34,WBI
E02001736,2,18,CHI
E02001734,2,9,WBI
E02001720,1,24,PAK
E02001711,1,3,WBI
E02001722,1,66,WBI
E02001711,1,55,WBI
E02001714,1,72,WBI
E02001733,2,53,WBI
E02001733,1,18,WBI
E02001724,1,23,WBI
E02001730,1,22,WBI
E02001734,2,52,WBI
E02001714,1,66,WBI
E02001720,1,24,WBI
E02001708,2,71,WBI
E02001735,2,22,WBI
E02001719,1,58,WBI
E02001714,2,83,WBI
E02001731,1,22,WBI
E02001729,2,51,WBI
E02001719,1,54,WBI
E02001729,1,1,WBI
E02001719,1,48,WBI
E02001710,2,20,WBI
E02001723,1,63,OTH
E02001727,2,52,WBI
E02001714,2,36,WBI
E02001731,1,40,WBI
E02001724,2,66,WBI
E02001720,1,17,WBI
E02001715,1,38,WHO
E02001725,2,24,WBI
E02001724,2,23,WBI
E02001733,2,31,WBI
E02001709,1,42,WBI
E02001736,1,60,WBI
E02001736,2,5,MIX
E02001712,2,35,WBI
E02001721,1,24,WBI
E02001730,2,25,MIX
E02006893,2,2,WBI
E02001730,2,24,CHI
E02001732,2,29,WBI
E02001711,2,56,WBI
E02001729,2,45,PAK
E02001714,1,50,WBI
E02001729,1,23,BLA
E02001721,2,15,WBI
E02001725,1,27,WBI
E02001720,2,22,WHO
E02001708,1,61,WBI
E02001735,2,18,WBI
E02001731,1,25,WBI
E02001733,1,57,WBI
E02001723,1,28,PAK
E02001721,2,32,WBI
E02001720,1,23,WBI
E02001715,1,55,WBI
E02001721,2,12,WBI
E02001725,2,23,WBI
E02001728,2,53,WBI
E02001722,1,4,WBI
E02001710,2,45,WBI
E02001724,1,28,CHI
E02001714,2,2,WBI
E02001726,1,19,WBI
E02001725,1,23,WBI
E02001719,1,45,WBI
E02006893,2,54,WBI
E02001736,1,45,WBI
E02001714,2,15,WBI
E02001731,1,21,WBI
E02001719,1,15,WBI
E02001711,1,18,WBI
E02001713,2,75,WBI
E02006893,2,75,WBI
E02001708,2,66,WBI
E02001728,1,76,WHO
E02001724,1,25,WBI
E02001731,1,35,BAN
E02001721,1,61,WBI
E02001726,1,30,WBI
E02001735,2,25,WBI
E02001727,1,41,WBI
E02001708,2,29,WBI
E02001713,2,68,WBI
E02001732,2,66,WBI
E02001737,1,31,WBI
E02001711,1,35,WBI
E02001735,2,8,WBI
E02001711,2,45,WBI
E02001725,1,23,WBI
E02001725,1,30,WBI
E02001730,2,29,IND
E02001727,2,45,WBI
E02001736,2,19,WBI
E02001728,1,11,WBI
E02001710,2,60,WBI
E02001709,1,13,WBI
E02001737,1,58,WBI
E02001737,1,32,WBI
E02001727,2,37,WBI
E02001731,1,32,OAS
E02001733,1,51,WBI
E02001734,1,46,WBI
E02001733,2,10,WBI
E02001710,1,33,WBI
E02001711,2,13,WBI
E02001713,2,38,WBI
E02001727,2,67,WBI
E02001720,2,25,CHI
E02001718,2,57,WBI
E02001725,2,23,MIX
E02001733,2,45,WBI
E02001709,2,54,WBI
E02001725,2,23,BAN
E02001734,1,65,WBI
E02001720,2,22,WBI
E02001709,1,42,BAN
E02001712,2,59,CHI
E02001709,1,42,IND
E02001711,2,41,WBI
E02001720,1,21,WBI
E02001714,1,29,WBI
E02001733,1,67,WBI
E02001720,1,26,WBI
E02001711,1,31,WBI
E02001736,1,23,BAN
E02001722,2,80,WBI
E02001715,1,31,WBI
E02001725,1,47,WBI
E02001712,1,53,BLA
E02001732,1,67,WBI
E02001715,1,34,WHO
E02001736,1,77,WBI
E02001731,1,23,WBI
E02006893,2,52,WBI
E02001735,1,48,WBI
E02001734,2,42,WHO
E02001719,1,24,WBI
E02001719,1,73,WBI
E02001713,2,1,PAK
E02001714,1,10,WBI
E02001727,1,11,WBI
E02001714,2,36,WBI
E02001714,1,59,WBI
E02001731,1,20,WBI
E02001730,1,38,WBI
E02001721,1,69,WBI
E02001713,1,75,CHI
E02001719,2,28,WBI
E02001715,2,28,WBI
E02001711,1,24,WBI
E02001730,1,20,OTH
E02001718,1,2,WBI
E02001730,1,42,WBI
E02001709,1,46,WBI
E02001731,1,27,BLA
E02001734,1,45,WBI
E02001728,1,56,WBI
E02001730,1,37,WBI
E02001709,2,57,WBI
E02001735,1,6,WBI
E02001714,1,79,WBI
E02001735,1,24,WBI
E02001719,1,16,MIX
E02001720,1,4,WBI
E02001727,2,73,WBI
E02001712,1,34,WBI
E02001719,1,7,WBI
E02001726,2,28,WBI
E02001725,1,30,WBI
E02001715,1,76,WBI
E02001728,2,6,WBI
E02001736,1,46,OTH
E02006893,1,24,WBI
E02001721,1,42,WBI
E02001736,1,29,BAN
E02006893,1,68,WBI
E02001713,1,5,BAN
E02001734,2,86,BLA
E02001727,1,28,WBI
E02001729,1,23,WBI
E02001729,1,31,PAK
E02001731,2,46,WHO
E02001729,1,58,BLA
E02001712,1,5,WBI
E02001721,1,42,WBI
E02001721,2,45,WBI
E02001726,2,30,WBI
E02001722,2,18,WBI
E02001722,2,49,WBI
E02001726,1,38,WBI
E02001726,2,64,WBI
E02001720,2,50,WBI
E02001731,2,25,WBI
E02001736,2,52,WBI
E02001729,2,18,PAK
E02001733,1,65,WBI
E02001727,2,40,WBI
E02001718,1,37,WBI
E02001722,2,33,WBI
E02001711,1,1,WBI
E02001711,2,57,WBI
E02001722,2,43,WBI
E02001712,1,85,WBI
E02001715,1,66,WBI
E02001715,1,35,WBI
E02001725,2,49,WBI
E02001729,2,42,WBI
E02001720,2,21,WBI
E02001736,2,28,WBI
E02001724,1,22,WBI
E02001711,1,48,WBI
E02001722,1,15,WBI
E02001726,1,62,OAS
E02001736,2,28,WBI
E02001714,1,55,WBI
E02001720,2,55,WBI
E02001722,2,73,WBI
E02001714,1,64,WBI
E02001733,1,78,WBI
E02001736,2,29,PAK
E02001729,2,20,BLA
E02001715,1,19,WBI
E02001731,1,59,WBI
E02001710,1,62,WBI
E02001715,1,16,WBI
E02001709,1,15,BLA
E02001729,1,28,IND
E02001729,2,5,IND
E02001713,1,4,WBI
E02001713,1,25,WBI
E02001725,1,38,WBI
E02001721,2,59,WBI
E02001709,2,8,WBI
E02001728,2,20,WBI
E02001728,2,24,WBI
E02001727,2,15,WBI
E02001725,1,21,WBI
E02001735,1,46,WBI
E02001712,1,49,WBI
E02001729,2,66,WBI
E02001728,1,38,WHO
E02001735,2,14,BLA
E02001709,2,59,PAK
E02001728,2,21,WBI
E02001727,2,28,WBI
E02001723,2,44,WBI
E02001736,2,38,BLA
E02001736,1,41,WBI
E02001708,1,8,WBI
E02001730,1,30,WBI
E02001737,2,53,WBI
E02001711,2,46,WBI
E02001712,1,5,MIX
E02001724,1,21,WBI
E02001713,2,57,WBI
E02001728,1,56,PAK
E02001714,1,79,WBI
E02001724,1,22,WBI
E02001724,2,21,MIX
E02001734,2,48,PAK
E02001712,2,54,OTH
E02001709,1,55,WBI
E02001712,1,46,BAN
E02001725,2,13,WBI
E02001710,1,37,WBI
E02001721,1,55,WBI
E02001733,1,29,WBI
E02001708,1,73,WBI
E02001724,2,50,WBI
E02001711,1,36,WBI
E02006893,1,16,WBI
E02001725,2,46,WBI
E02006893,2,54,WBI
E02001731,2,23,BAN
E02001726,1,28,WBI
E02001731,1,26,CHI
E02001726,2,80,WBI
E02006893,2,39,WBI
E02001712,1,4,WBI
E02001723,2,40,WBI
E02001709,2,50,WBI
E02001734,2,16,WBI
E02001734,1,60,WBI
E02001718,2,78,WBI
E02001727,1,55,WBI
E02001736,2,79,IND
E02001714,2,32,WBI
E02001711,1,83,WBI
E02001736,1,25,OAS
E02001719,2,5,WBI
E02001710,2,63,WBI
E02001720,2,20,WBI
E02001730,2,49,WBI
E02001733,1,26,WBI
E02001733,2,74,WBI
E02001733,1,62,WBI
E02001728,2,52,WBI
E02001714,1,13,WBI
E02001722,2,74,WBI
E02001732,1,75,PAK
E02001732,2,7,WBI
E02001723,2,48,WBI
E02001726,2,53,WBI
E02001723,2,26,WBI
E02001732,2,47,WBI
E02001724,1,60,WBI
E02001730,1,25,WBI
E02001714,2,30,WBI
E02001726,2,49,WBI
E02001723,1,21,WBI
E02001722,2,57,WBI
E02001730,2,22,WBI
E02001709,2,45,WBI
E02001723,2,5,WBI
E02001725,1,8,WBI
E02001715,2,59,WBI
E02001711,2,37,WBI
E02001736,1,30,PAK
E02001723,1,4,WBI
E02001729,1,21,PAK
E02001729,1,4,CHI
E02001722,2,21,WBI
E02001735,2,66,WBI
E02001731,2,28,WBI
E02001723,1,4,WBI
E02001728,2,9,OTH
E02001726,2,75,WBI
E02001719,1,41,WBI
E02001721,1,58,WBI
E02001726,1,17,BAN
E02001721,2,34,WBI
E02001730,1,70,WBI
E02001730,2,45,WHO
E02001729,1,69,WBI
E02001708,1,64,WBI
E02001718,1,70,WBI
E02001709,1,63,WBI
E02001708,2,40,WBI
E02001709,2,22,WBI
E02006893,1,59,WBI
E02001729,2,51,WHO
E02001735,1,19,WBI
E02001709,2,72,MIX
E02001731,2,86,WBI
E02001736,1,45,PAK
E02001719,1,19,WBI
E02001731,1,28,WHO
E02001713,2,9,WBI
E02001725,2,76,WBI
E02001718,2,74,WBI
E02001724,1,23,WBI
E02001723,2,46,WBI
E02001715,2,86,WBI
E02001708,1,48,WBI
E02001728,1,43,WBI
E02001723,1,84,WBI
E02001713,1,18,WBI
E02001711,2,8,WBI
E02001712,1,13,WBI
E02001724,2,23,WBI
E02001730,2,22,WBI
E02001726,2,20,WBI
E02001724,1,31,WBI
E02001736,2,32,WBI
E02001735,2,26,WBI
E02001718,1,9,WBI
E02001736,2,80,WHO
E02001726,2,25,PAK
E02001721,2,19,WBI
E02001712,1,68,WBI
E02001714,1,11,WBI
E02001709,2,48,WBI
E02001730,2,23,WBI
E02001718,2,44,WBI
E02001722,1,29,WBI
E02001708,2,34,WBI
E02001715,2,27,WBI
E02001713,2,66,WBI
E02001730,1,14,WBI
E02001722,1,33,WBI
E02001733,2,41,WBI
E02001710,2,33,WBI
E02001724,1,21,CHI
E02001711,1,3,WBI
E02001729,1,33,WBI
E02001728,2,33,WBI
E02001731,2,19,WBI
E02001736,1,61,BLA
E02001710,1,60,WBI
E02001731,2,32,WBI
E02001713,1,46,WBI
E02001731,2,21,MIX
E02001709,1,54,WBI
E02001715,1,66,WBI
E02001720,2,22,WBI
E02001714,2,31,WBI
E02001729,1,20,MIX
E02001731,1,21,WBI
E02001730,1,28,WBI
E02001724,2,22,WBI
E02001735,1,30,WBI
E02001730,1,31,WBI
E02001715,2,44,WBI
E02001713,1,25,WBI
E02001729,1,24,BAN
E02001721,1,65,WBI
E02001713,2,68,WBI
E02001709,1,68,WBI
E02001733,1,86,CHI
E02001734,2,5,WBI
E02001721,1,78,WBI
E02006893,2,48,WBI
E02001708,2,72,WBI
E02001727,1,28,WBI
E02001731,2,24,WBI
E02001730,1,63,WBI
E02001709,1,58,WBI
E02001713,2,1,WBI
E02001721,1,70,WBI
E02001721,2,50,WBI
E02001731,2,21,OAS
E02001736,2,70,WBI
E02001724,2,22,WBI
E02001708,1,42,WBI
E02001710,1,47,WBI
E02006893,1,23,WBI
E02001736,1,4,BAN
E02001726,1,65,WBI
E02001721,1,7,WBI
E02001730,2,24,WBI
E02001722,1,28,WBI
